,HSC,MPP,CMP,CLP,GMP,MEP
sending NRXN,0.6860853327297419,0.6084625396106836,0.6535338388411046,0.5158159800814849,0.5533753961068357,0.6284942281575373
receiving NRXN,0.5710658103214123,0.4217830466274332,0.5521092688999547,0.45495699411498414,0.38860909913988234,0.49997877999094614
sending GALECTIN,0.5586521050248981,0.43168571751923945,0.761798325033952,0.8455961407876866,0.4443823562698053,0.8989220235400635
receiving GALECTIN,0.3825613965595292,0.4326901312811227,0.4432435491172476,0.36409291534631055,0.43796684019918514,0.3772846876414667
sending NKG2D,0.3979812698053418,0.42622510185604345,0.43906320733363513,0.4673070393843368,0.43649558623811685,0.36973743775464013
receiving NKG2D,0.43723828655500224,0.470872000905387,0.42826929606156633,0.4170580579447714,0.4484495246717972,0.36997085785423267
sending TWEAK,0.4095744680851064,0.2526595744680851,0.30319148936170215,0.28191489361702127,0.22074468085106383,0.3191489361702128
receiving TWEAK,0.12338727931190585,0.13597781801720235,0.15108646446355817,0.12086917157084652,0.14101403349932096,0.12590538705296514
sending EPHB,0.289122623358986,0.13793005885015847,0.2148525916704391,0.15119256450882754,0.11140504753282028,0.35543515165233136
receiving EPHB,0.449468085106383,0.35106382978723405,0.48936170212765956,0.5053191489361702,0.3776595744680851,0.45478723404255317
sending LT,0.3768673607967406,0.37425022634676325,0.37425022634676325,0.5783867134449977,0.37425022634676325,0.37425022634676325
receiving LT,0.3344061226799457,0.3409631054775917,0.3169208352195564,0.22512307605251244,0.3934189678587596,0.1529962652784065
sending TENASCIN,0.300531914893617,0.24468085106382978,0.24468085106382978,0.24468085106382978,0.24468085106382978,0.2553191489361702
receiving TENASCIN,0.12234042553191489,0.1276595744680851,0.1276595744680851,0.13829787234042554,0.13829787234042554,0.14361702127659576
sending APP,0.2765957446808511,0.2978723404255319,0.09308510638297872,0.19148936170212766,0.30851063829787234,0.05585106382978723
receiving APP,0.7101063829787234,0.31382978723404253,0.31382978723404253,0.699468085106383,0.02925531914893617,0.125
sending CD226,0.36922815753734717,0.3323053417836125,0.398766410140335,0.4356892258940697,0.38153576278859214,0.34461294703485734
receiving CD226,0.14428191489361702,0.13497340425531915,0.14428191489361702,0.18384308510638298,0.1396276595744681,0.10704787234042552
sending PSAP,0.0797872340425532,0.08244680851063829,0.10638297872340426,0.31382978723404253,0.09042553191489362,0.023936170212765957
receiving PSAP,0.47074468085106386,0.47074468085106386,0.47074468085106386,0.47074468085106386,0.47074468085106386,0.47074468085106386
sending OSM,0.5797872340425532,0.5851063829787234,0.6595744680851063,0.5851063829787234,0.6409574468085106,0.6542553191489362
receiving OSM,0.13239163648709823,0.1479671231326392,0.1505630375735627,0.14277529425079222,0.13758346536894522,0.05970603214124038
sending IL17,0.691277161611589,0.691277161611589,0.691277161611589,0.691277161611589,0.691277161611589,0.691277161611589
receiving IL17,0.1140575486645541,0.1140575486645541,0.36604515617926664,0.4244001810774106,0.0795750339520145,0.37930766183793574
sending SAA,0.5378635694884564,0.5378635694884564,0.5378635694884564,0.5378635694884564,0.5378635694884564,0.5378635694884564
receiving SAA,0.5785494001810775,0.46635921231326394,0.2749759506564056,0.4443611362607515,0.3629682548664554,0.2749759506564056
sending EPHA,0.528569205522861,0.3242912516976007,0.4698392937980987,0.3855746378451788,0.29620303304662743,0.34982599592575825
receiving EPHA,0.3376103440470801,0.42659291534631055,0.42659291534631055,0.552215368945224,0.4606156631960163,0.3376103440470801
sending VTN,0.2526595744680851,0.2526595744680851,0.2526595744680851,0.2526595744680851,0.2526595744680851,0.2526595744680851
receiving VTN,0.11745982344952467,0.12256677229515617,0.12256677229515617,0.0944785536441829,0.13278066998641921,0.13788761883205072
sending IL4,0.580636034404708,0.580636034404708,0.5853185830692621,0.580636034404708,0.580636034404708,0.580636034404708
receiving IL4,0.16289893617021275,0.2606382978723404,0.16289893617021275,0.11170212765957446,0.2955452127659574,0.0581781914893617
sending ANNEXIN,0.5311226799456769,0.6256012335898596,0.3906815866908103,0.5055879357175193,0.6230477591670439,0.291096084200996
receiving ANNEXIN,0.699468085106383,0.5638297872340425,0.3324468085106383,0.5372340425531915,0.43882978723404253,0.3324468085106383
sending RELN,0.3324468085106383,0.31648936170212766,0.31648936170212766,0.36436170212765956,0.31648936170212766,0.31648936170212766
receiving RELN,0.09761204164780443,0.10185604345857853,0.10185604345857853,0.07851403349932096,0.11034404708012675,0.10610004526935264
sending KIT,0.16028386663307298,0.15056969289773522,0.1554267797654041,0.16028386663307298,0.15056969289773522,0.15299823633156967
receiving KIT,0.9074074074074074,0.8756613756613757,0.8968253968253969,0.8201058201058201,0.8624338624338624,0.917989417989418
sending PECAM1,0.5664893617021277,0.6196808510638298,0.723404255319149,0.7047872340425532,0.6569148936170213,0.5212765957446809
receiving PECAM1,0.5664893617021277,0.6196808510638298,0.723404255319149,0.7047872340425532,0.6569148936170213,0.5212765957446809
sending ANGPT,0.9521276595744681,0.851063829787234,0.9468085106382979,0.8111702127659575,0.7952127659574468,0.925531914893617
receiving ANGPT,0.11941206428248076,0.12460389316432774,0.12460389316432774,0.09604883431416932,0.13498755092802173,0.12979572204617473
sending L1CAM,0.11735372340425532,0.10986306020823902,0.12484438660027161,0.11735372340425532,0.11735372340425532,0.10986306020823902
receiving L1CAM,0.33272974196468996,0.3242417383431417,0.35479855138071525,0.3904481665912177,0.3157537347215935,0.39893617021276595
sending CHEMERIN,0.12484438660027161,0.12484438660027161,0.12484438660027161,0.12734127433227704,0.12484438660027161,0.12484438660027161
receiving CHEMERIN,0.3096565187867813,0.3070323110004527,0.3096565187867813,0.3831343368039837,0.3017838954277954,0.3070323110004527
sending CALCR,0.14247114078768675,0.13719443186962427,0.13719443186962427,0.16621633091896787,0.13719443186962427,0.13719443186962427
receiving CALCR,0.35631931869624267,0.26206711181530107,0.4022960049796288,0.26206711181530107,0.21149275690357627,0.20919392258940697
sending VISFATIN,0.3829787234042553,0.46808510638297873,0.3617021276595745,0.3776595744680851,0.5053191489361702,0.30319148936170215
receiving VISFATIN,0.08101799456767768,0.08454051607062019,0.08454051607062019,0.0651666478044364,0.09158555907650522,0.0880630375735627
sending LCK,0.3772846876414667,0.24536696468990493,0.5725229176097782,0.7202707673155274,0.1767697487550928,0.26911215482118606
receiving LCK,0.1816079108193753,0.17701024219103667,0.17701024219103667,0.268963614757809,0.17701024219103667,0.17930907650520597
sending EDN,0.2463147917609778,0.25393277501131734,0.2844047080126754,0.2463147917609778,0.25139344726120416,0.28186538026256225
receiving EDN,0.21054492983250342,0.23622114078768675,0.25162686736079676,0.2259506564056134,0.2773030783159801,0.19513920325939338
sending CD45,0.48415572657311,0.48415572657311,0.48678700769579,0.48678700769579,0.4815244454504301,0.4762618832050702
receiving CD45,0.26409008601177003,0.22346084200995925,0.22092151425984607,0.6602252150294251,0.20822487550928023,0.20568554775916703
sending CD46,0.5520314622000905,0.4431445224083296,0.4355477591670439,0.4684670665459484,0.4254187415119964,0.48112833861475784
receiving CD46,0.08169703485740154,0.08169703485740154,0.05057435491172477,0.056409857401539164,0.07391636487098234,0.04668401991851517
sending ICOS,0.1473163761883205,0.14981326392032596,0.13732882526029877,0.17228525350837484,0.15231015165233136,0.09737862154821185
receiving ICOS,0.3030217292892711,0.3030217292892711,0.3010411951109099,0.41591217745586234,0.3287686736079674,0.20597555454956995
sending IL1,0.6549767994567678,0.4271587822544138,0.5074128564961522,0.4944686509732911,0.2588841104572205,0.40385921231326394
receiving IL1,0.20043005885015844,0.23166591217745586,0.3956541421457673,0.4060660932548664,0.23166591217745586,0.5726573110004527
sending GALANIN,0.5570252376641014,0.5358052286102309,0.419095178813943,0.4323576844726121,0.4694927003168855,0.419095178813943
receiving GALANIN,0.6816927908555908,0.6816927908555908,0.692302795382526,0.6843452919873246,0.7029127999094613,0.6896502942507923
sending CD39,0.17604119511090993,0.13461973743775466,0.17086351290176552,0.2614729515617927,0.14497510185604345,0.1061424852874604
receiving CD39,0.4341189452240833,0.2991596876414667,0.4228723404255319,0.40712709370755995,0.27666647804436395,0.35539271163422365
sending IL6,0.32978723404255317,0.3617021276595745,0.3803191489361702,0.300531914893617,0.35106382978723405,0.43617021276595747
receiving IL6,0.6971480307831598,0.6373924852874604,0.6747397012222726,0.47804436396559524,0.6622906292440018,0.5602082390221821
sending VEGF,0.42021276595744683,0.2473404255319149,0.5292553191489362,0.4441489361702128,0.21808510638297873,0.601063829787234
receiving VEGF,0.36048551380715255,0.3789044816659122,0.20523992756903575,0.26575939339067456,0.4078485740153916,0.22892145767315528
sending NGL,0.587582050701675,0.587582050701675,0.587582050701675,0.587582050701675,0.587582050701675,0.587582050701675
receiving NGL,0.08753253734721594,0.08753253734721594,0.13262505658669083,0.0795750339520145,0.0795750339520145,0.0795750339520145
sending FLT3,0.1874363399728384,0.08473149615210503,0.12067819148936171,0.08473149615210503,0.0744610117700317,0.18486871887732007
receiving FLT3,0.4216840199185151,0.45536017428700765,0.5168557605251244,0.509534857401539,0.4392541874151199,0.4275407424173834
sending SEMA5,0.22707531688546853,0.22707531688546853,0.22707531688546853,0.2349055002263468,0.22707531688546853,0.23751556133997284
receiving SEMA5,0.20823902218198279,0.17960615663196017,0.16659121774558622,0.24728383884110458,0.1535762788592123,0.19782707107288364
sending COMPLEMENT,0.5408697374377547,0.5849224762335898,0.09055285196921685,0.40381677229515617,0.5898172249886827,0.07097385694884563
